IFDM - Índice Firjan de Desenvolvimento Municipal (NOVO)
Sigla;Código;Município;2019;2020;2021;2022;2023;
AM;1303205;Novo Airão;0,332;0,3667;0,3561;0,3713;0,3744;
AM;1303304;Novo Aripuanã;0,2718;0,3283;0,2988;0,3066;0,3345;
AM;1303403;Parintins;0,383;0,4102;0,3827;0,4291;0,4254;
AM;1303502;Pauini;0,1583;0,2125;0,2134;0,2148;0,2442;
AM;1303536;Presidente Figueiredo;0,4828;0,4729;0,5108;0,5511;0,5427;
AM;1303569;Rio Preto da Eva;0,3544;0,403;0,3908;0,4405;0,4729;
AM;1303601;Santa Isabel do Rio Negro;0,2785;0,2574;0,2657;0,2615;0,2969;
AM;1303700;Santo Antônio do Içá;0,2751;0,3067;0,3027;0,316;0,4043;
AM;1303809;São Gabriel da Cachoeira;0,267;0,2686;0,2273;0,2527;0,2798;
AM;1303908;São Paulo de Olivença;0,2426;0,253;0,2216;0,2412;0,2594;
AM;1303957;São Sebastião do Uatumã;0,2905;0,3533;0,3322;0,3658;0,3843;
AM;1304005;Silves;0,266;0,3444;0,3253;0,32;0,403;
AM;1304062;Tabatinga;0,3442;0,403;0,3801;0,3914;0,4079;
AM;1304104;Tapauá;0,3322;0,3411;0,3009;0,3268;0,2888;
AM;1304203;Tefé;0,3436;0,3844;0,371;0,3943;0,4109;
AM;1304237;Tonantins;0,3332;0,2854;0,2555;0,2847;0,3679;
AM;1304260;Uarini;0,2114;0,2325;0,1705;0,226;0,2998;
AM;1304302;Urucará;0,3207;0,3792;0,3795;0,3412;0,402;
AM;1304401;Urucurituba;0,3678;0,3725;0,3339;0,3699;0,3872;
AP;1600055;Serra do Navio;0,39;0,3739;0,3424;0,434;0,4301;
AP;1600105;Amapá;0,347;0,3722;0,355;0,4137;0,4326;
AP;1600154;Pedra Branca do Amaparí;0,372;0,4491;0,442;0,4313;0,4225;
AP;1600204;Calçoene;0,3488;0,3105;0,2738;0,3583;0,3369;
AP;1600212;Cutias;0,2996;0,3495;0,3558;0,3935;0,3746;
AP;1600238;Ferreira Gomes;0,3369;0,4172;0,4164;0,3876;0,3951;
AP;1600253;Itaubal;0,3227;0,3348;0,3329;0,3235;0,3482;
AP;1600279;Laranjal do Jari;0,3332;0,3408;0,3251;0,3683;0,4446;
AP;1600303;Macapá;0,5026;0,5055;0,4991;0,5332;0,5662;
AP;1600402;Mazagão;0,2917;0,3748;0,3525;0,44;0,4313;
AP;1600501;Oiapoque;0,2911;0,2814;0,2904;0,3344;0,3461;
AP;1600535;Porto Grande;0,3641;0,3736;0,3504;0,3594;0,4667;
AP;1600550;Pracuúba;0,2616;0,3523;0,3245;0,3331;0,4032;
AP;1600600;Santana;0,3967;0,4108;0,422;0,4336;0,4597;
AP;1600709;Tartarugalzinho;0,3035;0,3391;0,2882;0,3256;0,3528;
AP;1600808;Vitória do Jari;0,3341;0,364;0,3581;0,3919;0,3828;
BA;2900108;Abaíra;0,4583;0,464;0,4731;0,5189;0,5216;
BA;2900207;Abaré;0,3479;0,4236;0,4186;0,4524;0,4978;
BA;2900306;Acajutiba;0,3526;0,3938;0,3924;0,4624;0,4854;
BA;2900355;Adustina;0,3504;0,3378;0,4006;0,4215;0,4997;
BA;2900405;Água Fria;0,3824;0,4041;0,3452;0,4263;0,448;
BA;2900504;Érico Cardoso;0,3124;0,3598;0,4313;0,4289;0,5225;
BA;2900603;Aiquara;0,3801;0,4492;0,4721;0,5139;0,503;
BA;2900702;Alagoinhas;0,465;0,4695;0,4702;0,5424;0,5585;
BA;2900801;Alcobaça;0,343;0,3927;0,3492;0,3885;0,4014;
BA;2900900;Almadina;0,3997;0,3647;0,4057;0,437;0,437;
BA;2901007;Amargosa;0,507;0,5427;0,5387;0,5535;0,5908;
BA;2901106;Amélia Rodrigues;0,4331;0,4342;0,4934;0,5575;0,5375;
BA;2901155;América Dourada;0,4338;0,4148;0,4114;0,5162;0,5356;
BA;2901205;Anagé;0,3669;0,393;0,3761;0,4119;0,5055;
BA;2901304;Andaraí;0,4092;0,4344;0,3632;0,4975;0,5216;
BA;2901353;Andorinha;0,4712;0,4826;0,4419;0,4814;0,5849;
BA;2901403;Angical;0,4264;0,3545;0,4325;0,4555;0,5186;
BA;2901502;Anguera;0,462;0,4339;0,4587;0,5412;0,559;
BA;2901601;Antas;0,3257;0,3674;0,3479;0,4364;0,3955;
BA;2901700;Antônio Cardoso;0,3568;0,35;0,4125;0,3903;0,4252;
BA;2901809;Antônio Gonçalves;0,3851;0,4047;0,3517;0,4016;0,5011;
BA;2901908;Aporá;0,3482;0,379;0,3988;0,4147;0,4827;
BA;2901957;Apuarema;0,3524;0,4396;0,3891;0,395;0,449;
BA;2902005;Aracatu;0,4116;0,4481;0,4318;0,498;0,5541;
BA;2902054;Araças;0,4083;0,3914;0,448;0,4257;0,4795;
BA;2902104;Araci;0,3246;0,3562;0,3386;0,4156;0,466;
BA;2902203;Aramari;0,3729;0,4001;0,4092;0,4597;0,47;
BA;2902252;Arataca;0,2513;0,2953;0,3145;0,3887;0,4523;
BA;2902302;Aratuípe;0,3456;0,3066;0,3476;0,4131;0,5063;
BA;2902401;Aurelino Leal;0,2927;0,2574;0,3018;0,3825;0,4781;
BA;2902500;Baianópolis;0,331;0,4224;0,3837;0,4117;0,4246;
BA;2902609;Baixa Grande;0,3988;0,4142;0,408;0,4436;0,502;
BA;2902658;Banzaê;0,3192;0,3633;0,4056;0,4634;0,494;
BA;2902708;Barra;0,3321;0,376;0,3478;0,3491;0,4112;
BA;2902807;Barra da Estiva;0,3961;0,4488;0,4174;0,4546;0,5137;
BA;2902906;Barra do Choça;0,4103;0,4014;0,4314;0,4594;0,5228;
BA;2903003;Barra do Mendes;0,3556;0,3319;0,3938;0,448;0,4619;
BA;2903102;Barra do Rocha;0,3927;0,4426;0,3982;0,4601;0,466;
BA;2903201;Barreiras;0,5476;0,5744;0,5838;0,6198;0,6603;
BA;2903235;Barro Alto;0,3629;0,3617;0,3402;0,3639;0,389;
BA;2903276;Barrocas;0,5246;0,5077;0,462;0,5372;0,5796;
